Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,pmDE,Gmag,BPmag,RPmag,BP-RP,RV,distancia_pc
1824864881776097152,296.39775232992,19.57179782258,5.0001,1.4141,1.879,-10.123,20.491024,20.888243,19.071762,1.816481,,199.9960000799984
4044072624083675520,269.52887753774,-30.96385575653,5.0001,0.5623,-7.018,0.032,18.354698,19.590357,17.156803,2.433554,,199.9960000799984
6797180062575447808,305.26639570729,-30.27777996429,5.0001,0.2785,14.885,-22.915,16.401169,17.656847,15.080592,2.576255,,199.9960000799984
5811031485243331968,261.55930469877,-68.99832776219,5.0001,0.0514,-24.374,-79.445,16.116423,17.514814,14.959277,2.555537,,199.9960000799984
4049899490153779328,271.86509883874,-30.91512770835,5.0001,0.7198,5.676,-0.838,19.246832,19.475687,17.59585,1.879837,,199.9960000799984
1355626922844767744,250.66111353189,39.3643874097,5.0001,0.9947,-3.454,-5.462,20.312134,21.38668,18.704708,2.681973,,199.9960000799984
3253166804479977984,60.29072629143,-2.09567208707,5.0001,0.0763,12.323,-41.078,17.001537,18.502714,15.804347,2.698367,,199.9960000799984
5901091447583072384,224.2143873592,-51.03943415061,5.0001,0.0839,-45.439,-41.21,15.929205,17.254332,14.762759,2.491572,,199.9960000799984
4092451861396897920,278.901188582,-19.39273955206,5.0001,1.5712,-10.819,-7.146,20.035698,20.036203,18.634417,1.401787,,199.9960000799984
5828779149120967296,246.54044234774,-62.0897888936,5.0001,0.0569,3.549,10.122,9.882509,10.153749,9.438787,0.714961,-41.13,199.9960000799984
4207355185851136896,293.84228703737,-6.97143020155,5.0001,0.257,-3.731,-56.843,18.916733,20.042982,17.588722,2.45426,,199.9960000799984
4267964256825025536,288.76995021651,2.5473904795,5.0001,0.6179,-1.371,3.179,19.631632,20.418287,18.290962,2.127325,,199.9960000799984
24987986584809344,39.71515489188,10.71341761078,5.0001,0.0296,3.042,-10.511,13.683226,14.448728,12.80201,1.646718,-16.85,199.9960000799984
3315640432400490368,91.29032249192,2.55399948297,5.0001,0.2362,-27.999,-51.966,18.771734,20.604326,17.514029,3.090298,,199.9960000799984
4215552942676054912,304.75941891363,-8.47908909868,5.0001,1.0329,-1.254,0.234,20.115463,20.989395,18.717913,2.271482,,199.9960000799984
5893816464472305280,222.5317651084,-54.71419031168,5.0001,1.302,-14.281,-11.648,20.422855,20.672956,18.839651,1.833305,,199.9960000799984
